Status,Condition,District,Area,Rooms,Bathrooms,Balcony+,Heating,Conditioner,Parking,Lift,PerSq
ძველი აშენებული,ახალი გარემონტებული,დიღმის მასივი,111,5,1,6,1,0,1,1,721
ძველი აშენებული,ახალი გარემონტებული,დიღმის მასივი,63,3,1,2,1,0,1,0,683
ძველი აშენებული,ახალი გარემონტებული,დიღმის მასივი,64,2,1,20,1,1,0,0,597
ახალი აშენებული,ახალი გარემონტებული,დიღმის მასივი,95,4,2,0,0,0,0,2,1300
ახალი აშენებული,ახალი გარემონტებული,დიღმის მასივი,46,2,1,0,1,1,1,2,1100
ახალი აშენებული,ახალი გარემონტებული,დიღმის მასივი,145,4,2,8,1,1,1,2,1034
ახალი აშენებული,ახალი გარემონტებული,დიღმის მასივი,78,3,1,5,1,0,1,2,1032
ახალი აშენებული,ახალი გარემონტებული,დიღმის მასივი,91,3,1,10,1,1,1,2,1000
ახალი აშენებული,ახალი გარემონტებული,დიღმის მასივი,100,3,1,0,1,0,0,0,1000
ახალი აშენებული,ახალი გარემონტებული,დიღმის მასივი,120,4,3,14,1,0,1,2,958
ახალი აშენებული,ახალი გარემონტებული,დიღმის მასივი,23,2,1,0,1,0,1,2,909
ახალი აშენებული,ახალი გარემონტებული,დიღმის მასივი,142,4,2,15,1,1,1,2,890
ახალი აშენებული,ახალი გარემონტებული,დიღმის მასივი,100,3,1,12,1,1,1,2,867
ახალი აშენებული,ახალი გარემონტებული,დიღმის მასივი,73,3,1,4,1,1,0,2,863
ახალი აშენებული,ახალი გარემონტებული,დიღმის მასივი,73,3,1,4,1,1,1,2,863
ახალი აშენებული,ახალი გარემონტებული,დიღმის მასივი,60,3,1,5,1,1,0,0,817
ახალი აშენებული,ახალი გარემონტებული,დიღმის მასივი,130,4,3,0,1,1,1,0,808
ახალი აშენებული,ახალი გარემონტებული,დიღმის მასივი,72,3,1,5,1,0,1,1,722
ახალი აშენებული,ახალი გარემონტებული,დიღმის მასივი,72,3,1,5,1,0,1,1,694
ახალი აშენებული,ახალი გარემონტებული,დიღმის მასივი,64,2,1,20,1,1,0,0,597
ახალი აშენებული,ახალი გარემონტებული,დიღმის მასივი,78,5,1,0,1,0,0,0,590
ახალი აშენებული,ახალი გარემონტებული,დიღმის მასივი,78,5,2,0,1,0,0,1,577
ახალი აშენებული,თეთრი კარკასი,დიღმის მასივი,36,2,1,2,0,0,0,1,944
ახალი აშენებული,თეთრი კარკასი,დიღმის მასივი,40,2,1,7,0,0,0,0,800
ახალი აშენებული,თეთრი კარკასი,დიღმის მასივი,49,2,2,10,1,0,0,2,751
ახალი აშენებული,თეთრი კარკასი,დიღმის მასივი,69,3,2,10,1,0,0,2,700
ახალი აშენებული,შავი კარკასი,დიღმის მასივი,43,2,2,10,1,0,0,2,751
ახალი აშენებული,შავი კარკასი,დიღმის მასივი,60,2,1,11,0,0,1,2,600
ძველი აშენებული,ძველი გარემონტებული,დიღმის მასივი,26,1,1,0,1,0,0,2,927
ძველი აშენებული,ძველი გარემონტებული,დიღმის მასივი,47,2,1,0,1,0,1,2,772
ძველი აშენებული,ძველი გარემონტებული,დიღმის მასივი,70,2,2,15,0,0,0,1,700
ძველი აშენებული,ძველი გარემონტებული,დიღმის მასივი,63,3,1,0,0,0,0,0,668
ძველი აშენებული,ძველი გარემონტებული,დიღმის მასივი,110,4,1,24,1,0,1,1,645
