Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,PerSq
new,newRenov,saburtalo,90,3,2,2,9,12,20,20,20,1,0,1,1,1,1,0,1,1,0,1,1,1,1278
new,newRenov,saburtalo,98,3,2,1,12,22,8,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1276
new,newRenov,saburtalo,70,2,1,1,5,23,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1260
new,newRenov,saburtalo,55,2,1,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255
new,newRenov,saburtalo,88,3,2,2,8,12,2,0,2,1,0,1,1,0,1,0,1,0,0,1,1,1,1250
new,newRenov,saburtalo,118,4,2,2,5,6,18,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1230
new,newRenov,saburtalo,135,4,3,2,5,6,18,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1220
new,newRenov,saburtalo,124,4,3,2,14,17,9,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1218
new,newRenov,saburtalo,140,4,3,2,8,15,10,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1214
new,newRenov,saburtalo,58,2,1,1,3,10,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1207
new,newRenov,saburtalo,100,3,2,2,4,16,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1203
new,newRenov,saburtalo,50,2,1,1,5,8,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1200
new,newRenov,saburtalo,200,5,4,2,2,9,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1200
new,newRenov,saburtalo,80,3,2,1,18,22,3,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1199
new,newRenov,saburtalo,46,2,1,1,4,7,5,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1196
new,newRenov,saburtalo,53,3,2,1,6,7,6,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1189
new,newRenov,saburtalo,100,3,2,1,2,6,14,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1184
new,newRenov,saburtalo,115,4,0,2,15,16,12,8,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1183
