ID,Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,Views,PerSq,PREDICTION
8958833,old,oldRenov,chugureti,43,1,0,1,2,2,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,21,1023,937
8931672,old,oldRenov,chugureti,43,1,0,1,2,2,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,186,1023,969
8717325,new,newRenov,saburtalo,44,2,1,1,8,8,4,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,3318,1159,1162
8846810,new,newRenov,saburtalo,44,2,1,1,8,8,4,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,640,1205,1163
8939077,new,newRenov,didDigomi,44,2,1,1,6,10,3,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,423,659,752
8915916,new,newRenov,saburtalo,44,2,1,1,5,22,3,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1923,1307,1251
8943455,new,newRenov,didDigomi,44,2,1,2,10,11,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,50,693,719
8948572,new,newRenov,didDigomi,44,2,1,2,5,9,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,55,705,743
8951618,old,oldRenov,gldani,44,1,1,2,3,9,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,58,636,561
8944829,new,newRenov,vazisubani,44,2,1,1,3,12,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,142,659,696
8784150,new,newRenov,didDigomi,44,2,1,1,2,8,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1194,680,686
8924663,new,newRenov,didDigomi,44,2,1,1,5,9,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,510,700,731
8938084,new,newRenov,didDigomi,44,2,1,1,9,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,54,716,714
8924563,new,newRenov,didDigomi,44,2,1,1,7,10,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,73,850,756
8885433,new,newRenov,digmisMas,44,2,1,1,10,21,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,96,1232,1168
8886131,new,newRenov,saburtalo,44,2,1,1,4,9,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,557,1239,1137
8948999,new,newRenov,saburtalo,44,2,1,1,15,21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,126,1375,1287
8945698,WIP,white,vake,44,2,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,57,782,919
8670899,new,white,saburtalo,44,2,1,1,3,10,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1386,950,926
